,Parameter Name,Site_keys,LU,ppm
101,TSP - combined,[  33.795849 -118.03284 ],"{'Commercial and Services': 0.07920792079207921, 'Residential': 0.45544554455445546, 'Other urban or built-up land': 0.46534653465346537}",0.000232105
102,TSP - combined,[  33.927794 -116.874466],"{'Commercial and Services': 0.23, 'Residential': 0.13, 'Industrial and commercial complexes': 0.3, 'Other urban or built-up land': 0.21, 'Transportation, communications and services': 0.13}",0.000162778
103,TSP - combined,[  33.708355 -116.221118],"{'Residential': 0.05, 'Cropland and pasture': 0.47, 'Orchards, groves, vineyards, nurseries..': 0.48}",9.620700000000001e-05
104,TSP - combined,[  33.85275 -116.54101],"{'Shrub-brushland rangeland': 0.5, 'Other urban or built-up land': 0.01, 'Residential': 0.4, 'Mixed urban or built-up land': 0.09}",0.013632499999999999
105,TSP - combined,[  33.94603 -117.40063],"{'Commercial and Services': 0.46, 'Residential': 0.53, 'Transportation, communications and services': 0.01}",0.011963393
106,TSP - combined,[  33.99958 -117.41601],"{'Commercial and Services': 0.30434782608695654, 'Residential': 0.6521739130434783, 'Orchards, groves, vineyards, nurseries..': 0.043478260869565216}",0.000239661
107,TSP - combined,[  38.667126 -121.251338],"{'Commercial and Services': 0.25, 'Residential': 0.36, 'Cropland and pasture': 0.13, 'Transportation, communications and services': 0.17, 'Mixed urban or built-up land': 0.09}",0.0009019669999999999
108,TSP - combined,[  38.585183 -121.494677],"{'Commercial and Services': 0.58, 'Mixed urban or built-up land': 0.21, 'Industrial': 0.21}",0.020164407000000002
109,TSP - combined,[  38.556326 -121.458499],"{'Commercial and Services': 0.14864864864864866, 'Residential': 0.7635135135135135, 'Mixed urban or built-up land': 0.08783783783783784}",0.015943647
110,TSP - combined,[  34.141946 -116.059169],"{'Commercial and Services': 0.02564102564102564, 'Shrub-brushland rangeland': 0.6410256410256411, 'Residential': 0.3333333333333333}",0.020684730999999998
111,TSP - combined,[  34.895007 -117.024484],"{'Commercial and Services': 0.31, 'Residential': 0.54, 'Other urban or built-up land': 0.04, 'Shrub-brushland rangeland': 0.11}",0.000380714
112,TSP - combined,[  34.2431  -117.27235],"{'Commercial and Services': 0.1360544217687075, 'Residential': 0.6802721088435374, 'Reservoirs': 0.1836734693877551}",0.00036661
113,TSP - combined,[  34.106122 -117.481994],"{'Commercial and Services': 0.1092436974789916, 'Residential': 0.6050420168067226, 'Other urban or built-up land': 0.1092436974789916, 'Orchards, groves, vineyards, nurseries..': 0.17647058823529413}",0.00025
114,TSP - combined,[  34.06668 -117.15087],"{'Residential': 0.26, 'Orchards, groves, vineyards, nurseries..': 0.74}",0.0005466210000000001
115,TSP - combined,[  34.054456 -117.588664],"{'Other agricultural land': 0.047619047619047616, 'Orchards, groves, vineyards, nurseries..': 0.6285714285714286, 'Transportation, communications and services': 0.3238095238095238}",0.00034610200000000004
116,TSP - combined,[  34.523329 -117.30449 ],"{'Commercial and Services': 0.28, 'Residential': 0.67, 'Shrub-brushland rangeland': 0.05}",0.011374307
117,TSP - combined,[  34.102234 -117.286709],"{'Commercial and Services': 0.39, 'Residential': 0.3, 'Industrial': 0.21, 'Other urban or built-up land': 0.1}",0.00057
118,TSP - combined,[  35.759954 -117.374779],"{'Mixed barren land': 0.22, 'Shrub-brushland rangeland': 0.5, 'Dry salt flats': 0.085, 'Residential': 0.045, 'Industrial': 0.15}",0.000404694
119,TSP - combined,[  32.79394  -116.961138],"{'Commercial and Services': 0.47, 'Residential': 0.52, 'Industrial': 0.01}",0.0007953330000000001
120,TSP - combined,[  32.727273 -117.154477],"{'Commercial and Services': 0.17834394904458598, 'Residential': 0.025477707006369428, 'Other urban or built-up land': 0.1910828025477707, 'Transportation, communications and services': 0.6050955414012739}",0.000388772
121,TSP - combined,[  37.75493  -122.388026],"{'Industrial': 0.62, 'Transportation, communications and services': 0.38}",0.000420328
122,TSP - combined,[  37.950741 -121.268523],"{'Commercial and Services': 0.1, 'Residential': 0.68, 'Other urban or built-up land': 0.12, 'Mixed urban or built-up land': 0.1}",0.00022930200000000002
123,TSP - combined,[  38.000479 -121.31717 ],"{'Commercial and Services': 0.40425531914893614, 'Residential': 0.44680851063829785, 'Other urban or built-up land': 0.14893617021276595}",0.000295455
124,TSP - combined,[  38.021033 -121.336337],"{'Commercial and Services': 0.10714285714285714, 'Residential': 0.8928571428571429}",0.0006393750000000001
125,TSP - combined,[  35.283864 -120.655171],"{'Commercial and Services': 0.53, 'Residential': 0.47}",0.000706667
126,TSP - combined,[  35.633303 -120.692671],"{'Commercial and Services': 0.05660377358490566, 'Residential': 0.9339622641509434, 'Orchards, groves, vineyards, nurseries..': 0.009433962264150943}",0.0006545940000000001
127,TSP - combined,[  37.482934 -122.20337 ],"{'Commercial and Services': 0.5196078431372549, 'Residential': 0.4803921568627451}",0.000299107
128,TSP - combined,[  34.419997 -119.70069 ],"{'Commercial and Services': 0.78, 'Residential': 0.22}",0.000374426
129,TSP - combined,[  34.513601 -120.006531],{'Shrub-brushland rangeland': 1.0},0.000241333
130,TSP - combined,[  34.949422 -120.435164],"{'Commercial and Services': 0.49, 'Residential': 0.51}",0.013086392
131,TSP - combined,[  37.339666 -121.888575],"{'Commercial and Services': 0.39, 'Residential': 0.21, 'Other urban or built-up land': 0.09, 'Mixed urban or built-up land': 0.31}",0.000361552
132,TSP - combined,[  38.102507 -122.237976],"{'Commercial and Services': 0.37, 'Residential': 0.63}",0.003963935
133,TSP - combined,[  38.442412 -122.713598],"{'Commercial and Services': 0.8888888888888888, 'Residential': 0.07407407407407407, 'Other urban or built-up land': 0.037037037037037035}",0.000117458
134,TSP - combined,[  37.640763 -120.999378],"{'Commercial and Services': 0.97, 'Industrial': 0.01, 'Transportation, communications and services': 0.02}",0.000199608
135,TSP - combined,[  37.985757 -120.384083],{'Residential': 1.0},6.892899999999999e-05
