,begin loc,begin name,end loc,end name,grids through,num through
146,"(-71.070927799999978, 42.389716999999997)",Alford St,"(-71.044953999999976, 42.402451999999997)",MA-16/Main St/Revere Beach Pkwy,"[1927, 1928, 1978, 1979, 1980, 2030, 2031, 2081, 2082, 2132, 2133]",11
147,"(-71.050901799999977, 42.403108400000001)",MA-16/Main St/Revere Beach Pkwy,"(-71.046836700000014, 42.413946000000003)",Ferry St,"[2182, 2232, 2282, 2332, 2382]",5
148,"(-71.046836700000014, 42.413946000000003)",Ferry St,"(-71.045861500000001, 42.402570500000003)",MA-16/Main St/Revere Beach Pkwy,"[2183, 2233, 2283, 2333, 2382, 2383]",6
149,"(-71.044953999999976, 42.402451999999997)",MA-16/Main St/Revere Beach Pkwy,"(-71.070927799999978, 42.389716999999997)",Alford St,"[1927, 1928, 1978, 1979, 1980, 2030, 2031, 2081, 2082, 2132, 2133]",11
150,"(-71.1568276, 42.298342600000012)",Independence Dr,"(-71.146827500000001, 42.291901799999998)",W Roxbury Pkwy,"[11, 60, 61, 109, 110]",5
151,"(-71.130267599999996, 42.297874899999997)",Centre St,"(-71.119200999999975, 42.306776900000003)",MA-203/Arborway,"[115, 165, 166, 216, 266, 267]",6
152,"(-71.146827500000001, 42.291901799999998)",W Roxbury Pkwy,"(-71.1568276, 42.298342600000012)",Independence Dr,"[11, 60, 61, 109, 110]",5
153,"(-71.068687400000002, 42.360288899999993)",Grove St,"(-71.063827000000003, 42.351610800000003)",Lagrange St,"[1179, 1228, 1229, 1278, 1328]",5
154,"(-71.057320099999984, 42.351213700000002)",South St,"(-71.050844299999994, 42.298725200000007)",Glen Rd/Green St,"[132, 182, 231, 232, 281, 331, 381, 431, 481, 531, 581, 631, 681, 731, 781, 831, 881, 931, 980, 981, 1030, 1080, 1130, 1180]",24
155,"(-71.050844299999994, 42.298725200000007)",Glen Rd/Green St,"(-71.078488400000026, 42.343270200000006)",MA-28/Columbus Ave,"[132, 181, 182, 231, 281, 330, 331, 380, 430, 479, 480, 529, 579, 628, 629, 678, 727, 728, 777, 827, 876, 877, 926, 976, 1026]",25
156,"(-71.072548999999995, 42.322726000000003)",Dudley St/Roxbury St,"(-71.080947399999999, 42.332908200000013)",Melnea Cass Blvd,"[627, 676, 677, 726, 775, 776, 825]",7
157,"(-71.080947399999999, 42.332908200000013)",Melnea Cass Blvd,"(-71.137038299999986, 42.401472800000008)",Massachusetts Ave,"[825, 874, 875, 924, 973, 974, 1023, 1073, 1122, 1123, 1172, 1221, 1222, 1271, 1320, 1321, 1370, 1419, 1420, 1469, 1519, 1568, 1569, 1618, 1667, 1668, 1717, 1766, 1767, 1816, 1865, 1866, 1915, 1964, 1965, 2014, 2064, 2113, 2114]",39
158,"(-71.137038299999986, 42.401472800000008)",Massachusetts Ave,"(-71.080947399999999, 42.332908200000013)",Melnea Cass Blvd,"[825, 874, 875, 924, 973, 974, 1023, 1073, 1122, 1123, 1172, 1221, 1222, 1271, 1320, 1321, 1370, 1419, 1420, 1469, 1519, 1568, 1569, 1618, 1667, 1668, 1717, 1766, 1767, 1816, 1865, 1866, 1915, 1964, 1965, 2014, 2064, 2113, 2114]",39
159,"(-71.080947399999999, 42.332908200000013)",Melnea Cass Blvd,"(-71.072548999999995, 42.322726000000003)",Dudley St/Roxbury St,"[627, 676, 677, 726, 775, 776, 825]",7
160,"(-71.078488400000026, 42.343270200000006)",MA-28/Columbus Ave,"(-71.050844299999994, 42.298725200000007)",Glen Rd/Green St,"[132, 181, 182, 231, 281, 330, 331, 380, 430, 479, 480, 529, 579, 628, 629, 678, 727, 728, 777, 827, 876, 877, 926, 976, 1026]",25
161,"(-71.050844299999994, 42.298725200000007)",Glen Rd/Green St,"(-71.111945599999984, 42.301182500000003)",MA-203/Arborway/Washington St,"[129, 130, 131, 132, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179]",15
162,"(-71.063827000000003, 42.351610800000003)",Lagrange St,"(-71.068687400000002, 42.360288899999993)",Grove St,"[1179, 1228, 1229, 1278, 1328]",5
163,"(-71.137502099999978, 42.353633599999988)",US-20/N Beacon St,"(-71.149766099999994, 42.358508800000003)",Leo M Birmingham Pkwy,"[1212, 1213, 1261, 1262]",4
164,"(-71.149766099999994, 42.358508800000003)",Leo M Birmingham Pkwy,"(-71.130927200000002, 42.372524700000007)",Elliot Brg,"[1261, 1311, 1361, 1362, 1412, 1413, 1463, 1464, 1514, 1564, 1565]",11
165,"(-71.130927200000002, 42.372524700000007)",Elliot Brg,"(-71.127545999999995, 42.364802399999988)",N Harvard St,"[1415, 1465, 1515, 1565]",4
166,"(-71.127545999999995, 42.364802399999988)",N Harvard St,"(-71.130864899999978, 42.363082400000003)",Western Ave,"[1365, 1415]",2
167,"(-71.130864899999978, 42.363082400000003)",Western Ave,"(-71.110730099999998, 42.351848400000002)",MA-2/Boston Univ Brg,"[1168, 1169, 1217, 1218, 1266, 1267, 1315, 1316, 1365]",9
168,"(-71.110730099999998, 42.351848400000002)",MA-2/Boston Univ Brg,"(-71.109554500000002, 42.351076500000012)",University Rd,[1169],1
169,"(-71.109554500000002, 42.351076500000012)",University Rd,"(-71.082700299999999, 42.3486464)",Boylston St,"[1120, 1121, 1122, 1123, 1124, 1125, 1169, 1170]",8
170,"(-71.082700299999999, 42.3486464)",Boylston St,"(-71.074691000000001, 42.349634399999999)",Clarendon St,"[1125, 1126, 1127]",3
171,"(-71.074691000000001, 42.349634399999999)",Clarendon St,"(-71.069757299999978, 42.364603600000002)",MA-28/Embankment Rd,"[1127, 1177, 1227, 1277, 1327, 1377, 1378, 1428]",8
172,"(-71.069757299999978, 42.364603600000002)",MA-28/Embankment Rd,"(-71.074691000000001, 42.349634399999999)",Clarendon St,"[1127, 1177, 1227, 1277, 1327, 1377, 1378, 1428]",8
173,"(-71.074691000000001, 42.349634399999999)",Clarendon St,"(-71.137038299999986, 42.401472800000008)",MA-2A/Massachusetts Ave,"[1126, 1127, 1176, 1225, 1226, 1274, 1275, 1324, 1373, 1374, 1422, 1423, 1472, 1521, 1522, 1570, 1571, 1620, 1669, 1670, 1718, 1719, 1768, 1817, 1818, 1866, 1867, 1916, 1965, 1966, 2014, 2015, 2064, 2113, 2114]",35
174,"(-71.137038299999986, 42.401472800000008)",MA-2A/Massachusetts Ave,"(-71.109554500000002, 42.351076500000012)",University Rd,"[1169, 1219, 1268, 1269, 1318, 1368, 1417, 1418, 1467, 1517, 1566, 1567, 1616, 1666, 1716, 1765, 1766, 1815, 1865, 1914, 1915, 1964, 2014, 2063, 2064, 2113]",26
175,"(-71.109554500000002, 42.351076500000012)",University Rd,"(-71.110730099999998, 42.351848400000002)",MA-2/Boston Univ Brg,[1169],1
176,"(-71.127545999999995, 42.364802399999988)",N Harvard St,"(-71.130927200000002, 42.372524700000007)",Elliot Brg,"[1415, 1465, 1515, 1565]",4
177,"(-71.130927200000002, 42.372524700000007)",Elliot Brg,"(-71.149766099999994, 42.358508800000003)",Leo M Birmingham Pkwy,"[1261, 1311, 1361, 1362, 1412, 1413, 1463, 1464, 1514, 1564, 1565]",11
178,"(-71.149766099999994, 42.358508800000003)",Leo M Birmingham Pkwy,"(-71.137502099999978, 42.353633599999988)",US-20/N Beacon St,"[1212, 1213, 1261, 1262]",4
179,"(-71.148271299999976, 42.399566299999996)",MA-2A/Concord Tpke,"(-71.153870599999976, 42.390493800000002)",Concord Ave,"[1910, 1960, 2010, 2011, 2061]",5
180,"(-71.153870599999976, 42.390493800000002)",Concord Ave,"(-71.144514700000002, 42.389133600000001)",Concord Ave/New St,"[1861, 1862, 1910, 1911]",4
181,"(-71.144514700000002, 42.389133600000001)",Concord Ave/New St,"(-71.141280899999998, 42.380684100000003)",MA-16/Huron Ave,"[1712, 1762, 1812, 1862]",4
182,"(-71.141280899999998, 42.380684100000003)",MA-16/Huron Ave,"(-71.132068199999978, 42.3775209)",Brattle St,"[1663, 1664, 1712, 1713]",4
183,"(-71.132068199999978, 42.3775209)",Brattle St,"(-71.138022900000024, 42.374826500000012)",Mount Auburn St,"[1613, 1614, 1664]",3
184,"(-71.138022900000024, 42.374826500000012)",Mount Auburn St,"(-71.116077599999997, 42.364075999999997)",Memorial Dr,"[1417, 1418, 1466, 1467, 1515, 1516, 1563, 1564, 1565, 1613]",10
185,"(-71.116077599999997, 42.364075999999997)",Memorial Dr,"(-71.138022900000024, 42.374826500000012)",Mount Auburn St,"[1417, 1418, 1466, 1467, 1515, 1516, 1563, 1564, 1565, 1613]",10
186,"(-71.138022900000024, 42.374826500000012)",Mount Auburn St,"(-71.121207900000002, 42.371297100000007)",Jfk St,"[1516, 1517, 1564, 1565, 1566, 1613, 1614]",7
187,"(-71.121207900000002, 42.371297100000007)",Jfk St,"(-71.116067299999997, 42.364309300000002)",Western Ave,"[1417, 1418, 1467, 1517]",4
188,"(-71.116067299999997, 42.364309300000002)",Western Ave,"(-71.109999299999998, 42.363259499999998)",River St/River St Brg,"[1368, 1369, 1418]",3
189,"(-71.109999299999998, 42.363259499999998)",River St/River St Brg,"(-71.106158299999976, 42.359148400000002)",MA-2/Brookline St,"[1319, 1320, 1369]",3
190,"(-71.106158299999976, 42.359148400000002)",MA-2/Brookline St,"(-71.1160797, 42.372578900000001)",MA-2A/Massachusetts Ave,"[1320, 1369, 1370, 1419, 1468, 1469, 1518, 1568]",8
191,"(-71.1160797, 42.372578900000001)",MA-2A/Massachusetts Ave,"(-71.079426699999999, 42.361903600000012)",MA-3/Longfellow Brg,"[1374, 1375, 1376, 1422, 1423, 1424, 1470, 1471, 1472, 1519, 1520, 1568, 1569]",13
192,"(-71.079426699999999, 42.361903600000012)",MA-3/Longfellow Brg,"(-71.082287400000013, 42.367827899999988)",MA-28/Charles St,"[1375, 1376, 1425, 1475]",4
193,"(-71.070338799999988, 42.357858299999997)",MA-28/Charles St,"(-71.066209099999995, 42.367140300000003)",Prison Point Brg,"[1277, 1278, 1328, 1378, 1428, 1478]",6
194,"(-71.067723999999998, 42.334414899999999)",Prison Point Brg,"(-71.069383000000002, 42.377158000000001)",New Rutherford Ave,"[828, 878, 928, 978, 1028, 1078, 1128, 1178, 1228, 1278, 1328, 1378, 1428, 1478, 1528, 1578, 1628, 1678]",18
195,"(-71.082287400000013, 42.367827899999988)",MA-28/Charles St,"(-71.077865500000001, 42.366561999999988)",Cambridge Pkwy/1st St,"[1475, 1476]",2
196,"(-71.077865500000001, 42.366561999999988)",Cambridge Pkwy/1st St,"(-71.1160797, 42.372578900000001)",MA-2A/Massachusetts Ave,"[1473, 1474, 1475, 1476, 1519, 1520, 1521, 1522, 1523, 1568, 1569]",11
197,"(-71.1160797, 42.372578900000001)",MA-2A/Massachusetts Ave,"(-71.106158299999976, 42.359148400000002)",MA-2/Brookline St,"[1320, 1369, 1370, 1419, 1468, 1469, 1518, 1568]",8
198,"(-71.106158299999976, 42.359148400000002)",MA-2/Brookline St,"(-71.109999299999998, 42.363259499999998)",River St/River St Brg,"[1319, 1320, 1369]",3
199,"(-71.109999299999998, 42.363259499999998)",River St/River St Brg,"(-71.116067299999997, 42.364309300000002)",Western Ave,"[1368, 1369, 1418]",3
200,"(-71.116067299999997, 42.364309300000002)",Western Ave,"(-71.121207900000002, 42.371297100000007)",Jfk St,"[1417, 1418, 1467, 1517]",4
201,"(-71.121207900000002, 42.371297100000007)",Jfk St,"(-71.138022900000024, 42.374826500000012)",Mount Auburn St,"[1516, 1517, 1564, 1565, 1566, 1613, 1614]",7
202,"(-71.138022900000024, 42.374826500000012)",Mount Auburn St,"(-71.137474400000002, 42.366968)",US-3/MA-2/Greenough Blvd,"[1463, 1513, 1563, 1613]",4
203,"(-71.137474400000002, 42.366968)",US-3/MA-2/Greenough Blvd,"(-71.138022900000024, 42.374826500000012)",Mount Auburn St,"[1463, 1513, 1563, 1613]",4
204,"(-71.138022900000024, 42.374826500000012)",Mount Auburn St,"(-71.132068199999978, 42.3775209)",Brattle St,"[1613, 1614, 1664]",3
205,"(-71.132068199999978, 42.3775209)",Brattle St,"(-71.141280899999998, 42.380684100000003)",MA-16/Huron Ave,"[1663, 1664, 1712, 1713]",4
206,"(-71.141280899999998, 42.380684100000003)",MA-16/Huron Ave,"(-71.144514700000002, 42.389133600000001)",Concord Ave/New St,"[1712, 1762, 1812, 1862]",4
207,"(-71.144514700000002, 42.389133600000001)",Concord Ave/New St,"(-71.153870599999976, 42.390493800000002)",Concord Ave,"[1861, 1862, 1910, 1911]",4
208,"(-71.153870599999976, 42.390493800000002)",Concord Ave,"(-71.148271299999976, 42.399566299999996)",MA-2A/Concord Tpke,"[1910, 1960, 2010, 2011, 2061]",5
